feed_fe_percent,ore_mass_flow,solid_feed_percent,conc_fe,tail_fe,conc_mass,tail_mass,mass_pull_pct,fe_recovery_percent
37.54463042273378,98.96858127837329,28.896812968700853,55.260920000000034,12.653117515187795,57.976321683825994,41.00237923719944,58.58053226079238,86.22309156786616
37.32952638380775,100.49087446612016,28.71263248610667,55.260920000000034,12.653117515187795,57.976321683825994,41.00237923719944,57.69312088469518,85.40625201026903
37.181208558358634,100.87409430863033,27.595041155242914,55.260920000000034,12.653117515187795,57.976321683825994,41.00237923719944,57.473945199888455,85.4211901904791
37.26304600840812,100.27307650697729,27.73734697544399,55.260920000000034,12.653117515187795,57.976321683825994,41.00237923719944,57.81843312625582,85.74446133025263
37.10549075951785,99.77324383875266,28.357748897294325,55.17063538461541,12.653117515187795,58.055078693192314,41.00237923719944,58.187021349147805,86.51590029562459
36.994322580939624,99.29432578641625,28.55523915751832,55.0641102366864,12.654497595014707,58.3751400192513,40.93253187828912,58.790005931272646,87.50584256090525
37.0232565220693,99.89876524934725,28.787336277212372,55.01531014565316,12.657516180946029,58.4372341249259,41.292174062672764,58.496452863122585,86.92375547156212
36.80631352359146,99.36934851427363,28.805580383422907,55.00244470501731,12.66121650798657,58.36483151641675,41.74325406907153,58.735246219344084,87.77249942036083
36.854044585221935,100.10958638736173,28.829398402623607,54.91448904924141,12.66064505112229,58.13531581345229,41.842168039904095,58.07167716037187,86.52989150539713
36.75975721543772,98.63309974659872,28.76933568109623,54.821404799533155,12.663415184458566,57.824005754920854,41.852699576721065,58.62535589318216,87.43051125449512
36.741361396345575,100.84653714431488,28.584629793026718,54.757660645866565,12.662354587623923,57.88691162110685,41.823087290598465,57.400990911833375,85.54783659702035
37.321490239738424,99.5699777372885,28.57981435829148,54.657975782071745,12.663300656471606,57.622052674642845,41.8755291537051,57.87091047331193,84.75296143905788
36.59386120263132,100.5124650363542,28.59372544904525,54.61028894281337,12.659547564183208,57.73453013380605,41.93245650053413,57.44016934906943,85.71995799260607
36.26379257067635,101.02790694851167,28.440815591843414,54.55801242634668,12.657890464564616,57.3007945168642,42.07000745630843,56.71778842856483,85.33056215368786
36.32697923835513,100.47792714202104,28.37337997841097,54.5296845700595,12.651997499882198,57.68862766768544,41.94335470229507,57.41422948161057,86.18332405023268
36.36484012371322,100.9652038872333,28.28301253424451,54.67411742772893,12.650854717134344,57.90560974114737,42.28782204542553,57.35204556791802,86.22813859302693
36.314364017180964,98.11626801712941,28.422382235780997,54.56076072475625,12.655052692015389,57.79555930289814,41.93764032761455,58.90517492247874,88.50247667492447
36.756040189172964,99.71690025933452,28.342690499835168,54.40961044600384,12.64928548149878,57.646114842116816,42.30818859598568,57.80977416285115,85.57524901985268
36.45357567041805,101.34420410694355,28.288021380058513,54.336541043694666,12.63817932442767,57.45243694840467,42.81779191731505,56.690402233341274,84.50091139441255
36.55720356248135,100.78163322337245,28.40215399272042,54.30695218073518,12.63277467355422,57.5103392537283,42.985031988154006,57.06430568183228,84.77094027702414
36.95411195422,102.15883363043385,28.347539541837726,54.265401341990895,12.630694001262079,56.70631008516176,43.156669629832074,55.507985036615125,81.51090437320518
36.633493441219514,102.0521226966189,28.162468943005823,54.365750825840536,12.630651897722597,57.059840514251334,42.763885242624625,55.91244846898397,82.97658661478287
36.688831384174804,100.68299425787377,28.262092725667923,54.3492851235942,12.633315020164162,57.48601897889422,42.57207027319503,57.09605619361942,84.57968598144743
36.50487658655881,100.17000746306292,28.311605408238552,54.36009853759643,12.631070623448352,57.61651340885963,42.93037710244978,57.51872727982512,85.65221896516965
36.80692556233283,99.50194365394351,28.424108214172033,54.477195253905506,12.63563396099426,58.34854744662168,42.973813886657126,58.64061072972737,86.79279651112353
36.78214552090225,100.02660147865132,28.527474016869114,54.474170156249556,12.645341478902667,58.44354654194708,43.01732982807087,58.42800382898212,86.53157605124662
36.74506891890369,100.13295229267251,28.502032688505512,54.48229701923051,12.643245325088827,58.14727098981567,43.22409950776901,58.070065506368515,86.10109192682759
36.699146042359025,99.98181063990496,28.506407362651384,54.43091355029571,12.641677798104443,57.73094769101051,43.06072422127755,57.74145049136449,85.64013713933582
36.61175759770446,99.68395948663503,28.51092973193638,54.47683910787429,12.641323806892402,57.54948418692669,42.97516540860254,57.731940508084,85.90283124351986
36.50476186785983,101.03027996330796,28.41984109832356,54.49378945099954,12.643603710350783,57.59601143667324,42.62464772631009,57.008662608468356,85.10172092929412
36.45734151247102,102.34189397974487,28.38848566262087,54.49623966215357,12.648181327795454,57.626378723160045,42.524404003777356,56.307711810146145,84.16846731908669
36.85040816199812,101.57381009181655,28.385016211073836,54.48436671517142,12.646953905388031,57.571900247201654,42.50432162013081,56.679866783731114,83.80277997562409
36.76155515436357,100.29724636646641,28.380628651252934,54.45287567087473,12.642983860374065,57.39524911851675,42.48768297368535,57.22514944109811,84.76447567788674
36.49997876210037,101.60924760446069,28.36317894103093,54.41014656669215,12.64205664285964,57.606346326676075,42.47838235831777,56.69399949788343,84.51316758942409
36.636828478400105,100.89895058313203,28.442307879758292,54.373417117964394,12.641164847229648,58.054009488061624,42.78440488754894,57.536782248523124,85.39143781697376
36.57394948976406,100.46608136329087,28.42536583909774,54.45807976490116,12.636785616814558,58.33178394153116,43.224328405360914,58.06117164120319,86.45224157060697
36.418854222540745,100.36151167323527,28.330072165557617,54.48600677840071,12.639912650239456,58.044955904488646,43.115963110133805,57.83587247417703,86.5278660445151
36.65232660046565,100.23058325225739,28.430448056301707,54.43132340209276,12.638356798894256,58.094132694913746,42.87561118883649,57.96048552237208,86.07546163168995
